"","ZIP3","avg_2000","avg_2001","avg_2002","avg_2003","avg_2004","avg_2005","avg_2006","avg_2007","avg_2008","avg_2009","avg_2010","avg_2011","avg_2012","avg_2013","avg_2014","avg_2015","avg_2016","avg"
"1","397",15.3656664995327,12.5761823324913,12.2580012266604,12.6327542438199,12.7184152354675,13.681322118154,12.5327993947559,12.4765988660257,10.9818073097746,9.69134871860568,11.7198097567623,10.8606450724311,10.7735052940308,8.96621915303368,9.28275417087622,8.8144383578571,8.53482709362452,11.4039467555237
"2","223",14.2508950814079,15.0690690806824,13.7124000556719,13.4663689232912,13.9087614599857,13.6683728399355,12.4189236075694,12.4697267732954,10.9969405779245,9.89976589112034,10.4429775421521,9.85897657486101,8.87342901762919,8.44981652326642,7.88593119475108,8.5884623906991,6.63706121501234,11.2116399264268
"3","224",14.0064461944462,13.7616095107555,12.8615573327745,13.32099923389,13.4228584850279,13.1077187006774,12.037000321389,11.790075613238,10.4087747400078,9.22361921573175,9.58708539288314,9.22983577882539,8.68437399487586,7.4946784468332,8.08686438509716,8.28654590312133,7.27668450733758,10.7403957504066
"4","398",14.725266448163,12.1238075009882,12.4454126484234,12.3800035943859,12.6359828695546,12.5134277596449,12.5737666541747,12.6023678153955,10.9223027206863,10.122831712045,11.2638619844172,10.9681147258522,9.70798276186984,8.5456355534874,8.94652361665222,8.35093028411657,8.3348331791592,11.1272383428833
"5","391",13.4336975667904,11.5982648887534,11.1327092283379,12.0271578209501,11.8345815085711,12.7306677453895,11.8065527879485,11.8322657301012,10.3068223583242,9.70817627058556,10.7709741434124,11.3093976632682,10.0449862303365,7.69644143329807,8.43081112353205,8.58878462853531,8.42394557298106,10.6868374530068
"6","225",13.6096442535752,13.2073147553297,12.4554820214105,13.0661904143219,13.0445453684387,12.7930387232681,11.7888192274559,11.4452157097989,10.0909750580465,8.82878073588143,9.17423387906632,8.99724619974184,8.35399344568124,7.20456783034249,7.76652342113456,7.82607191208215,7.0141308471204,10.3921631648645
"7","117",12.0600507417763,12.977320734934,11.084883209852,12.4023398407341,11.0542560138303,11.1729295793859,9.46357123774307,10.0777540515573,9.0823293552362,7.81417358127397,7.61678238423586,8.21385803230086,6.98156553989354,7.39226705048869,7.13766369618256,6.92876043197177,6.04248730189283,9.26488192842878
"8","392",14.2351364838874,12.8703206876256,12.1747738251455,13.0027607361228,12.1972151433504,13.6761436514628,12.9488113730412,12.7413450167634,11.535584133525,10.6468945358675,11.8121439713962,12.2662707626395,10.600320405852,8.93073003517963,9.21556359816921,9.01536746646484,8.54270210190794,11.5536519957883
"9","226",13.3157247851394,13.6701304622907,12.9909182712294,13.4731688846023,13.3056701620595,13.0699907474654,12.2072392533275,12.7383622452075,10.6345712608601,9.92380084584539,10.1139519574144,9.82851896845632,9.26367002215171,8.55711965435975,8.24095851612263,8.32928957373567,6.78638134401088,10.9676157031929
"10","118",13.1939894603851,13.5344846725454,12.1787215582769,12.275704233471,11.4363245897075,11.4048994418284,10.3749776800945,10.6954336878228,10.0089265456317,8.54844597547181,8.13266629152884,9.76466211841189,7.59963348081217,7.36355244679913,7.47047969142584,7.80297047157822,6.24346155522949,9.88407846476592
"11","393",14.7917402512804,12.2839849062259,12.2150304201207,12.6171075109595,12.7135529873904,13.6161650623816,12.5334724880603,12.5661892451663,11.0143210716603,10.1359360330048,11.2352849239683,11.1993122627783,10.0912900750207,7.84702624749429,8.76745977662964,8.76514908253975,8.12113395149468,11.2067150762456
"12","394",13.5881110296932,11.7922505702347,11.2463616072492,12.4853013244267,12.0276898661181,12.9773946954573,12.1811396608533,12.10359820211,10.3338951276073,9.6041794895438,10.6307683110447,10.7813886600405,9.51685431199793,7.4028671645944,8.158494477403,9.15059965894177,8.66088346829862,10.7436339779773
"13","220",13.8186738928137,14.6123125444226,12.9565434901991,12.8463430644089,13.3934648871038,13.155400988389,11.8976756141305,12.2928536092556,10.4543959580299,9.56957617061769,9.74531046984473,9.44208676058711,8.51241475890663,8.18794783747325,8.36113850861841,8.48157064851558,7.31021472290292,10.8845837603659
"14","119",9.90952636558059,11.575838557714,9.85006939970946,11.0129651847478,9.76605367856402,9.72639699927911,8.18156985144121,8.64119224577787,7.28164849183818,6.39096027728426,6.56699123939946,6.84938600801382,5.35402390224635,6.2034573013344,5.59243009461528,5.75601365149565,5.41195801069211,7.88649889763138
"15","221",14.0765931143409,14.6847340847216,13.055984569595,13.190258563515,13.6171629249931,13.4698890314489,12.0036573462318,12.4747749178089,10.6233763092583,9.69092487346008,9.71965449467011,9.65354508499794,8.76884113868818,8.3512490216125,8.57507765915081,8.41767837119438,7.23141445523455,11.035577409466
"16","102",16.3698888450785,18.0429334355623,14.9250354949996,15.6042066800419,13.6591116184881,14.0396385792385,12.6241326694446,13.2410027598431,12.4394522754548,11.9603778084283,10.4726904662182,12.2261485517305,10.0454656264076,8.98969441092207,9.80124609376712,8.48928546304376,9.8937181337855,12.519060524262
"17","222",14.6231721714422,15.4164449190724,14.518907646235,14.0656278359857,14.5263090729795,13.8429816898345,12.8438408237366,12.7810539688584,11.4005001823406,10.4001353393343,10.7470816233332,10.3117174855901,9.11827101289101,8.6233072619542,8.49098072949527,9.66236700369984,8.01131771888158,11.7284715579803
"18","103",14.2314896234966,13.7027997727656,12.7752098702341,14.0127701402568,12.8444818566052,13.4735492101078,11.5312050730719,11.839832090146,10.1822237870287,9.432060605416,9.19980232117892,9.69535545440007,8.60678438621476,9.2040565163045,8.55388538419709,7.89700499700796,7.37013222935026,10.8560378422225
