"","ZIP3","avg_2000","avg_2001","avg_2002","avg_2003","avg_2004","avg_2005","avg_2006","avg_2007","avg_2008","avg_2009","avg_2010","avg_2011","avg_2012","avg_2013","avg_2014","avg_2015","avg_2016","avg"
"1","397",43.4700152762844,40.6402571686517,39.116268142166,38.8862866735765,37.8336390419729,40.6032572936738,42.1816526462933,40.2728384118621,37.7655133581165,35.9883892154313,40.0770522533661,40.061318791527,39.5196289606743,36.2817778813764,36.2965324805374,36.6261091783385,38.2012324577535,39.0483393665648
"2","223",33.3468903005279,38.4494754573419,40.4231988650975,35.6265468144658,37.2356117071079,37.7753096525091,39.767305027716,40.9884821386169,37.6027790075601,36.6591201735714,41.1937413208303,40.0665014309425,39.7356246340276,38.6848161961898,39.2839025106439,39.394063475034,39.4838443376436,38.5716007676368
"3","224",36.5738458912768,39.3014295409304,41.1654188854085,37.5235218705433,36.6462079502178,38.5584743765456,38.9755339178142,40.9387787227297,38.5000512119148,37.1714654799313,41.2895167009173,40.2751797604245,39.6432412435456,39.0316105070303,39.8182859759634,39.5597433734674,39.2477090792799,39.0717655581142
"4","398",44.9992849741994,40.7220937565461,39.0273259910804,38.1921715982459,39.974860788086,40.4400081263154,42.7314331826111,42.3173025730876,39.6254231099663,36.897728259643,40.1649504789769,40.7276860285604,38.1012665269299,36.0444205071067,37.4742269940261,35.7952296505764,38.0427742076327,39.4869521619759
"5","391",43.5061381638488,40.3645561213895,38.0007563499764,39.2570568770974,38.1096788757455,41.2827114073156,42.2433066763973,39.6387105245901,38.1297453126982,36.5263616125259,39.7464336973664,39.9851536656288,38.9843760971806,36.4570809575158,35.8274675944884,36.5821958664015,37.4035919519445,38.9438424560065
"6","225",36.8774742239928,39.3341462332196,41.1669002344219,37.3781646856756,36.5296204701307,38.329497144783,38.7832476122013,40.5708790975468,38.2486382736718,36.7751392126372,40.8604360638718,39.8714279172435,39.0879185336037,38.4393493309472,39.2586382718558,38.9760711705824,38.7848706805684,38.7807305386443
"7","117",35.8531386121315,36.8604461874148,37.972665033605,37.366268626963,35.9299507896683,36.8826876226185,36.1870626924235,36.5165187618982,38.0018070295875,36.5680219280851,39.1890922908185,37.719193938281,36.7125513249551,38.7190452812871,37.3949325065825,37.8593469847152,37.915066361477,37.2733997630889
"8","392",42.852605884731,39.9495072978922,37.0804175271039,39.0653553723446,37.3278144813222,40.5673079690597,41.8817438266886,38.8508854883081,37.9038519849299,36.0289803265023,39.2620072283937,39.9037234195703,38.7740627497478,36.6907842959373,35.8997486814708,36.3871175017266,37.3225219847475,38.5734374129692
"9","226",40.0602033355316,43.0452383101743,44.3420321626948,40.2443219402869,39.2909687543995,41.1602768786849,40.8146804329039,42.1441927855763,40.639189052236,39.0673698854717,42.7166269340954,41.7087541253672,41.2176358061987,40.9502822840011,41.1451590402157,41.2294610986261,41.0980477980911,41.2279082720327
"10","118",34.1513741311048,34.2362949017684,35.6232390072293,35.3748326564784,34.1125883731372,34.6143193316947,33.6519635907091,36.4221456999147,37.2088528516337,36.1678906287918,39.8591583223566,39.9339503073143,37.5673049743893,38.987274273957,38.0328816781474,39.033744325357,38.000249683442,36.6457685139662
