ZIP3	NO2_avg	NO2_avg_2007_to_2016	O3_avg	O3_avg_2007_to_2016	pm25_avg	pm25_avg_2007_to_2016
793	14.5923390639729	12.90007712482844	43.6885167596411	43.35782265144459	7.83610351119939	7.708338815577801
794	17.8197506802889	16.22138667662779	43.4712099348813	43.37437070182374	8.64150344131711	8.493954059329491
674	12.0082941294353	10.676872708434031	41.2461885245209	41.1756609820905	8.20322522389812	7.597024700742951
675	11.0598014290704	10.070056678958228	41.6551106522054	42.20810545735207	7.56926612711373	7.19926239666804
676	9.42260458007399	8.592780493738466	41.9206850278875	42.74906155454354	6.3735674074279	5.952841429913372
677	12.8911572078068	12.046661722408532	43.5273958845872	44.30511691362197	6.3696459404324	6.220529529283989
670	11.6053137275256	10.362968946149701	41.3445128190682	41.22245412158908	8.73718491848785	8.17860849862675
790	14.7645018697476	12.90171158482964	44.3528234466628	44.60610267893193	6.8588444648759	6.63145475676318
671	11.9162572595601	10.69006003363695	41.3081585117253	41.29084831776242	8.84337271150615	8.317843733572522
672	18.0063749645476	17.48465710444681	39.466357433484	39.34656632416551	10.0786742495068	9.44275813480155
553	14.0818383076555	12.355373465080369	36.3006492321117	36.09434755805188	8.94295053954161	8.114585201266495
673	11.0663059559338	9.21486314072605	41.3281791986944	40.7674201280633	9.61787103987657	8.984220549844864
554	21.6559540276203	18.55753281734832	34.6780014899293	34.28373149433673	9.27785378255642	8.515928970355057
447	20.3911373452537	17.595764327738742	39.667366411341	40.1745298124013	13.6892835671452	12.06547347352546
556	7.60489344746572	7.752375870726891	35.2389806712753	35.22588089837904	4.48995253240964	4.012987635827097
448	16.4336940165476	14.37493647171776	39.4458711609575	39.228015805552516	12.2068171148728	10.527480078363705
550	12.5396799833638	11.4522572521634	36.0729170773149	35.92669919699514	8.53835328603592	7.856154660505429
449	16.8013019537476	14.29034259330265	39.6741493879009	39.5356986680417	12.158059377237	10.644929563444155
551	19.730827208808	17.127690632119428	35.0091392116443	34.58679892473315	9.4854214171075	8.749059552481706
432	24.5746108690894	20.72546975309193	38.8658332725665	39.12608311081069	12.9127780242838	11.107823506755
433	18.0166170706263	15.62910233043501	40.3906806648266	40.2155201353388	12.7703781493828	11.076587183882456
434	21.5122450893824	18.51124644449556	38.7901944970347	38.64867103318253	12.179734877579	10.573102673704508
435	19.1296803235342	16.63485457773923	38.8290717372965	38.79103487990434	12.2448825458822	10.71809908738422
430	17.3669200667773	14.75377877022537	40.5841362910985	40.4727247475054	12.7686415302331	11.047488486547682
799	23.2655934364246	21.14248641411722	44.0711167593067	43.53626842849819	7.06099084746548	6.8175494916277195
431	16.7789692674688	14.10780823899705	40.5080668755725	40.36061952292186	12.7917320729625	11.069369800496178
784	13.6771533650797	11.192612217644166	33.7183966996844	33.20786150976685	9.82383490993178	9.64203640817357
785	12.1652842685919	9.747349732409035	33.2020065858669	32.38770936696115	9.98066022541753	9.611537529300932
786	8.09086044109405	7.145687144239911	39.223112222063	38.9910363622684	9.07951214485507	8.469608100561313
787	9.09357639577464	8.884535576091151	38.942941462679	39.00864739031893	10.0043790405523	9.468288926737634
678	12.7664933389194	11.78733741731135	43.2107285990658	43.67575919157082	6.64531216184204	6.466173877367406
780	10.5092606606746	8.906889040007401	37.8071581452433	37.308501165560344	9.07551418336713	8.410771423345452
679	14.941140584958	13.49199640730708	43.8188280189951	44.03054278326684	6.93753037926019	6.786318860343455
781	10.1562118301664	8.314555389669545	38.1390754116857	37.30263321090183	9.66220219521004	9.227710990751824
782	14.8882060780616	12.726155934272844	39.4501190658675	39.06125258942818	9.79252283094169	9.28078750652881
783	10.8011032567634	8.565792295310192	35.3919346226402	34.80875649372592	9.56976623830273	9.204376806408213
664	14.7632470780595	12.756793411598423	40.7451801659913	40.53028085294503	9.20838887055843	8.516339856270438
665	14.6105994891586	12.659486660855586	40.7790884377308	40.55685004998018	9.30474473467106	8.5847386669109
557	9.12140658463006	9.291860039894908	35.4007369577542	35.27595321950021	5.48908622718077	4.982380127754613
666	19.3237507485891	17.610174204293898	40.287015573969	40.2872386668515	9.82983533510733	8.93239124586828
558	10.0293508540509	9.926660631022537	33.6351361076296	33.10526431997991	6.2315623567719	5.54476704774914
559	11.0754672720416	10.513054126054802	37.281956242237	37.28330298625405	9.4322572455405	8.62238664188991
660	13.633965822277	12.099610032031977	40.3545384312159	40.03293049941109	9.98896640216289	9.137094342203747
661	27.0087005007981	24.58436912713612	37.4475581528023	37.08094743787992	10.5623257401429	9.434096970550872
542	10.358712742474	8.946921465397937	37.550874907459	37.749109209286	9.11809566289192	8.331599042240818
662	27.2460433263743	24.89129919522329	38.5781707392971	38.41006596425675	10.1128883833105	8.976350909219738
543	15.0435429125431	12.48586579435346	36.9388166516362	37.31114855017164	10.2495331190841	9.301325775051552
544	7.94722798160929	7.215594474546761	37.7669944000965	37.77272655255842	7.96978970060332	7.470425174043861
545	9.17931310939565	7.906026688733236	37.1912355026498	37.16236070067599	6.02127006526872	5.76543132922315
436	26.1772104872369	22.71830417647132	36.7897276502285	36.71695340534419	12.1694600379152	10.567086537045338
437	12.2167444168655	10.621771101833598	40.674694022037	40.6281057917332	11.1448095640599	9.67101235256125
438	11.507932996737	10.18180788828936	40.3580767639635	40.31158196027545	11.990887692547	10.353908151484877
439	13.0983815366484	11.164693354515913	39.8623744064556	40.16785532037877	12.4215355757334	10.687639356656568
540	12.1486107438064	10.786940847679144	36.3881892667775	36.21787117935208	9.04232172191595	8.4048427164962
421	10.9848019566954	9.409066540215973	41.0453421616575	40.84851116472182	11.5637547553603	10.280851940834511
541	9.14606526466799	7.81606872630821	37.5661444677268	37.883406123794174	8.03013214669926	7.439674618697353
422	9.57367835743832	8.283970401569695	41.5119798736692	41.24258794149342	11.2216698061659	10.027253540562343
423	10.3854140984796	8.823142479228222	40.6954198723303	40.67421324205576	12.0701927342057	10.728462789574033
424	10.8571224996357	8.934334768800062	40.8597270826669	40.83611563331198	11.9516573495191	10.70958987362235
788	9.88016066197083	8.854338624118054	40.0787893714648	39.79379040918492	8.074346862458	7.273178929479347
420	10.0039591119394	8.157571959190623	40.8285586829687	40.67761507538851	11.3726110051843	10.169472556261598
789	9.53985139485898	7.7918346113098496	37.7137024050492	37.20297366089766	10.5849928207457	10.024242783695044
